,text,category,product_name,product_id
0,Warnanya tdk sesuai pesanan. Tdk ada chat/pemberitahuan jg.,elektronik,USB HUB 3.0 7 port by DIGIGEAR HIGH SPEED 1.2 meter,170197447
1,Thanks gan barang bagus.smoga awet,handphone,"Holder anti hujan &amp; copet untuk smartphone / handphone di motor 5,5&#34;",37564148
2,barang sesuai deskripsi.. laptop dapat di-charge,elektronik,Adaptor Charger Laptop Toshiba Satellite C800 C800D C840 C840D C850,254339251
3,Goood product..........    ............,handphone,Silikon Case Blackberry Bold 9000 Hitam Gratis Anti Gores,4837401
4,Bagus pengiriman cepat.,handphone,Audio Splitter Jack 3.5mm to dual female U Shape 2in1 &#40;Audio &amp; Audio&#41;,270447288
5,Terima kasih pesanannya sdh sampai,fashion,Celana jeans anak pendek,294837423
6,"barangnya cacat, apa tidak diperiksa dulu?",handphone,Tempelan / Perekat Gurita Hp Buat / untuk Gojek / Perekat Hp 3M Besar,56486193
7,Barang sesuai pesanan,elektronik,Baterai Acer Aspire One 722 D255 D257 D260 D270 AOD255 AL10A31 AL10B31,189413883
8,"Udah order ternyata stok ga tersedia,  harusnya klo ga ada jangan dulu di pasang di etalasee",fashion,Sepatu Bata Dairy Black - 6516353,194223236
9,Pengiriman barang lambat,elektronik,USB HUB 4 port USB 3.0 / USB HUB 3.0 &#40;4port&#41; DIGIGEAR HIGH QUALITY,182937734
